Plant,pH,TDS,Turbidity,Fertilizer,Dosage,Supplements,pH_Adjustment
Lettuce,5.652164095237978,858.0902242637148,1.5197961420628376,General Hydroponics Flora Series,1.3010515284806525,"Cal-Mag Plus, FloraNova Grow",No pH adjustment needed
Lettuce,6.114177700609055,620.0196627614212,1.8471361657614962,General Hydroponics Flora Series,1.1534270246429743,"Cal-Mag Plus, FloraNova Grow",No pH adjustment needed
Lettuce,5.967531259149803,554.5442010954405,0.7782808244489846,General Hydroponics Flora Series,1.1257593162880828,"Cal-Mag Plus, FloraNova Grow",No pH adjustment needed
Lettuce,5.879867484231277,545.2247769594244,1.4614753778809906,General Hydroponics Flora Series,1.2110922589709865,"Cal-Mag Plus, FloraNova Grow",No pH adjustment needed
Lettuce,5.987494081880256,702.4907367371055,0.18830998622299544,General Hydroponics Flora Series,1.1364440259725361,"Cal-Mag Plus, FloraNova Grow",No pH adjustment needed
Lettuce,6.104661476160239,500.0,1.0321265392234915,General Hydroponics Flora Series,1.0040329876120224,"Cal-Mag Plus, FloraNova Grow",No pH adjustment needed
Lettuce,6.090437942554052,699.9353514420086,1.7373521869560955,General Hydroponics Flora Series,1.0416705786463112,"Cal-Mag Plus, FloraNova Grow",No pH adjustment needed
Lettuce,5.840072689687588,615.7424870262669,0.7783234472661376,General Hydroponics Flora Series,1.1614917719583684,"Cal-Mag Plus, FloraNova Grow",No pH adjustment needed
Lettuce,5.690975202622379,925.1031882074806,1.723356004615067,General Hydroponics Flora Series,1.2754997797244736,"Cal-Mag Plus, FloraNova Grow",No pH adjustment needed
Lettuce,5.640297338014803,757.9249167046322,0.13590327148120143,General Hydroponics Flora Series,1.1814341023336183,"Cal-Mag Plus, FloraNova Grow",No pH adjustment needed
Lettuce,5.977941405561748,680.7074686003862,1.2516463813730316,General Hydroponics Flora Series,1.1924196254971815,"Cal-Mag Plus, FloraNova Grow",No pH adjustment needed
Lettuce,6.206079579401004,929.4841791941319,0.5986053743210435,General Hydroponics Flora Series,1.2821902504375224,"Cal-Mag Plus, FloraNova Grow",No pH adjustment needed
Lettuce,5.241669035025815,694.4587612920673,0.24356486949863698,General Hydroponics Flora Series,1.2019000331062148,"Cal-Mag Plus, FloraNova Grow",General Hydroponics pH Up
Lettuce,5.587593508570237,624.7315140915226,1.6941827006265122,General Hydroponics Flora Series,1.2328751109659684,"Cal-Mag Plus, FloraNova Grow",No pH adjustment needed
Lettuce,6.578044503609069,629.7949458835733,1.7232602876910401,General Hydroponics Flora Series,1.2673125502773974,"Cal-Mag Plus, FloraNova Grow",General Hydroponics pH Down
Lettuce,5.6692759799405925,649.9273727297325,0.8552382685810048,General Hydroponics Flora Series,1.1765412866624851,"Cal-Mag Plus, FloraNova Grow",No pH adjustment needed
Lettuce,6.007998268455481,605.5840960966979,0.2827185006863166,General Hydroponics Flora Series,0.9977685066804264,"Cal-Mag Plus, FloraNova Grow",No pH adjustment needed
